No,no_focal,date,subject,start_time,fin_time,time,consort,activity,T_G,RG,RGsuc3_TF,RGsuc3,G_size1,Gr,groomer,groomee,groomer2,groomee2,x0_1m,x1_3m,x3_5m,x5_10m,Event,agg_male,agg_mf,agg_focal,aggressor1,aggressor2,victim1,victim2,type,memo,aggressor,victim
1,1,2018-10-08T00:00:00Z,Tot,NA,NA,0,0,R,G,1,1,1,4,0,NA,NA,NA,NA,NA,"Kol,TY",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2018-10-08T00:00:00Z,Tot,NA,NA,1,0,R,G,1,1,1,4,0,NA,NA,NA,NA,NA,"Kol,TY",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
3,1,2018-10-08T00:00:00Z,Tot,NA,NA,2,0,R,G,1,1,1,5,0,NA,NA,NA,NA,NA,"Kol,TY,Mik",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
4,1,2018-10-08T00:00:00Z,Tot,NA,NA,3,0,R,G,1,1,1,4,0,NA,NA,NA,NA,NA,"Kol,TY,Mik",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
5,1,2018-10-08T00:00:00Z,Tot,NA,NA,4,0,R,G,1,1,1,4,0,NA,NA,NA,NA,NA,"Kol,TY,Mik",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
6,1,2018-10-08T00:00:00Z,Tot,NA,NA,5,0,R,G,1,1,1,4,0,NA,NA,NA,NA,NA,"Kol,TY,Mik,Kur",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2018-10-08T00:00:00Z,Tot,NA,NA,6,0,R,G,1,1,1,5,0,NA,NA,NA,NA,NA,"Kol,TY,Mik,Kur",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
8,1,2018-10-08T00:00:00Z,Tot,NA,NA,7,0,R,G,1,1,1,6,0,NA,NA,NA,NA,NA,"Kol,TY,Mik,Kur,Ten",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
9,1,2018-10-08T00:00:00Z,Tot,NA,NA,8,0,M,G,0,0,0,NA,0,NA,NA,NA,NA,NA,"Kol,TY,Mik,Kur,Ten",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
10,1,2018-10-08T00:00:00Z,Tot,NA,NA,9,0,G,G,1,1,1,1,1,Tot,In,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
11,1,2018-10-08T00:00:00Z,Tot,NA,NA,10,0,G,G,1,1,1,1,1,Tot,In,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
12,1,2018-10-08T00:00:00Z,Tot,NA,NA,11,0,G,G,1,1,1,1,1,Tot,J,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
13,1,2018-10-08T00:00:00Z,Tot,NA,NA,12,0,G,G,1,1,1,1,1,Tot,J,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
14,1,2018-10-08T00:00:00Z,Tot,NA,NA,13,0,F,G,0,0,0,NA,0,NA,NA,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
15,1,2018-10-08T00:00:00Z,Tot,NA,NA,14,0,G,G,1,1,1,2,1,Tot,J,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
16,1,2018-10-08T00:00:00Z,Tot,NA,NA,15,0,G,G,1,1,1,2,1,Tot,J,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
17,1,2018-10-08T00:00:00Z,Tot,NA,NA,16,0,R,G,1,1,1,2,0,NA,NA,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
18,1,2018-10-08T00:00:00Z,Tot,NA,NA,17,0,R,G,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
19,1,2018-10-08T00:00:00Z,Tot,NA,NA,18,0,R,G,1,1,1,2,0,NA,NA,NA,NA,NA,Mik,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
20,1,2018-10-08T00:00:00Z,Tot,NA,NA,19,0,M,G,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
21,1,2018-10-08T00:00:00Z,Tot,NA,NA,20,0,F,G,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
22,1,2018-10-08T00:00:00Z,Tot,NA,NA,21,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
23,1,2018-10-08T00:00:00Z,Tot,NA,NA,22,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
24,1,2018-10-08T00:00:00Z,Tot,NA,NA,23,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
25,1,2018-10-08T00:00:00Z,Tot,NA,NA,24,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
26,1,2018-10-08T00:00:00Z,Tot,NA,NA,25,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
27,1,2018-10-08T00:00:00Z,Tot,NA,NA,26,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
28,1,2018-10-08T00:00:00Z,Tot,NA,NA,27,0,F,T,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
29,1,2018-10-08T00:00:00Z,Tot,NA,NA,28,0,M,G,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
