study_period,femaleID,age,rank
m18,Kil,14,1
m18,Kit,7,2
m18,Koh,12,3
m18,Kur,17,4
m18,Kun,6,5
m18,Kol,8,6
m18,Ntr,10,7
m18,Ten,10,8
m18,Aka,12,9
m18,Ako,9,10
m18,Tam,13,11
m18,Tot,10,12
m18,Hen,10,13
m18,Hot,10,14
m18,Mik,15,15
m18,Mal,8,16
m18,Mei,10,17
nm19,Kil,14,1
nm19,Kit,7,2
nm19,Koh,12,3
nm19,Kur,17,4
nm19,Kun,6,5
nm19,Kol,8,6
nm19,Ntr,10,7
nm19,Ten,10,8
nm19,Aka,12,9
nm19,Ako,9,10
nm19,Tam,13,11
nm19,Tot,10,12
nm19,Hen,10,13
nm19,Hot,10,14
nm19,Mik,15,15
nm19,Mal,8,16
nm19,Mei,10,17
m19,Kil,15,1
m19,Kit,8,2
m19,Koh,13,3
m19,Kur,18,4
m19,Kun,7,5
m19,Kol,9,6
m19,Ntr,11,7
m19,Ten,11,8
m19,Aka,13,9
m19,Ako,10,10
m19,Tam,14,11
m19,Tot,11,12
m19,Hen,11,13
m19,Hot,11,14
m19,Mik,16,15
m19,Mif,6,16
m19,Mal,9,17
m19,Mei,11,18
nm20,Kil,15,1
nm20,Kit,8,2
nm20,Koh,13,3
nm20,Kur,18,4
nm20,Kun,7,5
nm20,Kol,9,6
nm20,Ntr,11,7
nm20,Ten,11,8
nm20,Aka,13,9
nm20,Ako,10,10
nm20,Tam,14,11
nm20,Tot,11,12
nm20,Hen,11,13
nm20,Hot,11,14
nm20,Mik,16,15
nm20,Mif,6,16
nm20,Mal,9,17
nm20,Mei,11,18
m20,Kil,16,1
m20,Kit,9,2
m20,Koh,14,3
m20,Coc,6,4
m20,Kun,8,5
m20,Kol,10,6
m20,Ntr,12,7
m20,Ntm,6,8
m20,Ten,12,9
m20,Aka,14,10
m20,Anz,6,11
m20,Ako,11,12
m20,Tam,15,13
m20,Tot,12,14
m20,Trt,6,15
m20,Hen,12,16
m20,Hot,12,17
m20,Mik,17,18
m20,Mif,7,19
m20,Mal,10,20
m20,Mei,12,21
nm21,Kil,16,1
nm21,Kit,9,2
nm21,Koh,14,3
nm21,Coc,6,4
nm21,Kun,8,5
nm21,Kol,10,6
nm21,Ntr,12,7
nm21,Ntm,6,8
nm21,Ten,12,9
nm21,Aka,14,10
nm21,Anz,6,11
nm21,Ako,11,12
nm21,Tam,15,13
nm21,Tot,12,14
nm21,Trt,6,15
nm21,Hen,12,16
nm21,Hot,12,17
nm21,Mik,17,18
nm21,Mif,7,19
nm21,Mal,10,20
nm21,Mei,12,21
m21,Kil,17,1
m21,Cur,5,2
m21,Kit,10,3
m21,Koh,15,4
m21,Coc,7,5
m21,Kun,9,6
m21,Kol,11,7
m21,Ntr,13,8
m21,Ntm,7,9
m21,Ten,13,10
m21,Yun,5,11
m21,Aka,15,12
m21,Anz,7,13
m21,Ako,12,14
m21,Tot,13,15
m21,Trt,7,16
m21,Hen,13,17
m21,Hot,13,18
m21,Har,6,19
m21,Mik,18,20
m21,Mif,8,21
m21,Mal,11,22
m21,Mei,13,23
nm22,Kil,17,1
nm22,Cur,5,2
nm22,Kit,10,3
nm22,Koh,15,4
nm22,Coc,7,5
nm22,Kun,9,6
nm22,Kol,11,7
nm22,Ntr,13,8
nm22,Ntm,7,9
nm22,Ten,13,10
nm22,Yun,5,11
nm22,Aka,15,12
nm22,Anz,7,13
nm22,Ako,12,14
nm22,Tot,13,15
nm22,Trt,7,16
nm22,Hen,13,17
nm22,Hot,13,18
nm22,Har,6,19
nm22,Mik,18,20
nm22,Mif,8,21
nm22,Mal,11,22
nm22,Mei,13,23
